Dept,Department,Owner,Program,Goal,KPI_CODE,Performance Measure,Description,Technical Description,Performance Pattern,Unit of Measure,FY 2011   Total Actual Data,FY 2012   Total Actual Data,FY 2013   June Actual Data,FY 2013   Total Actual Data,FY 2013   Total Target Data,FY 2013   Total Projected Data,FY 2014   Total Target Data,FY 2015   Total Target Data,FY 2013   Yr End Actual Explanation,FY 2013   Yr End Dept Comment,Major Service Area,Annual Performance Measure Report,City Survey Report,CAFR Report,Government Barometer Report,Mayor's Budget Book,Performance Appraisal Report
CHF,CHILDREN YOUTH & THEIR FAMILIES,"Moye, Laura",DEPARTMENT-WIDE/OTHER,All city employees have a current performance appraisal,CHF.XXX.01.208.208,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.",This is the number of applicable employees in a department for whom a performance appraisal was conducted and completed during the fiscal year. Timing: This metric will be reported on an annual basis.,Above target is positive,General,11,17,20,20,33,29,33,33,,"The number of employee performance appraisals completed increased from 17 to 20. We are still short of the target due to vacancies, temp positions, and staff turnover. Because we do not expect the number of full-time permanent staff to be anywhere near 33, we anticipate lowering the target next year.",C Human Welfare & Neighborhood Development,Yes,No,No,No,No,Yes
CON,CONTROLLER,"Lane, Maura",ACCOUNTING OPERATIONS AND SYSTEMS,Ensure that the City follows appropriate accounting procedures,CON.FDG.08.216.216,Number of audit findings with questioned costs in annual Single Audit of federal grants,Revised Measure:  This measure accounts for findings with questioned costs reported by external auditors in the Single Audit consisting of compliance and internal control audit as well as financial audit of federal grants awarded to the City.  Single audits are completed well after year-end and are asscociated with the data for the previous fiscal year. The actual number of findings is not known for prior year until February or March of each successive year. ,Collection Method: AOSD Operations Unit. Timing: FY2013-14 Audit will be completed by 3/31/2015. Findings will be available at that time. Preliminary potential issues are estimated to be 4 or fewer questioned costs. ,Below target is positive,General,0,2,1,1,5,5,4,4,The measure has been revised so that only findings with questioned costs will be reported.,,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",ACCOUNTING OPERATIONS AND SYSTEMS,Ensure that the City follows appropriate accounting procedures,CON.FDG.08.215.215,Number of findings of material weakness in annual City audit,Material weaknesses in the City's financial practices as determined by the City's external auditors.,"Collection Method: Management letter from external auditors.  Letters are kept by CAFR team in  Controller's Systems and Reporting offices. Timing:  The data is available annually, after the annual audit is complete and are associated with data from the previous fiscal year.",Below target is positive,General,0,0,1,1,0,0,0,0, ,,F General Administration & Finance,Yes,No,No,No,Yes,No
CON,CONTROLLER,"Lane, Maura",ACCOUNTING OPERATIONS AND SYSTEMS,Manage the Citywide family of financial professionals,CON.FDG.09.222.222,Percentage of 16 major departments that have been trained this year on cost recovery policies and procedures and related topics,"The Controller's Office will develop, maintain and implement a continuity of operations and emergency response plan. The Controller's Office will exercise this plan annually and provide training elements of this plan to the City departments that comprise the ""big sixteen"" that are the key responders during an emergency, as well as any other departments as identified.","Collection Method: Controller's Adminisatration Division Timing:  Timing of trainings can vary from year-to-year.  Accordingly, reporting on this measure will occur at the end of each fiscal year.",Above target is positive,Percent,1,0.94,0.06,0.06,1,0,1,1,The Human Services Agency was trained on shelter and feeding cost recovery for the 2013 Golden Guardian exercise. This training also included non-profits. The main focus in 2013 was to train the Controller's management and lead staff on the Controller's Office Continuity of Operations Plan.,,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",ACCOUNTING OPERATIONS AND SYSTEMS,"Provide accurate, timely financial reporting",CON.FDG.12.223.223,City receives certificate of achievement for excellence in financial reporting from Government Finance Officers Association (1 equals yes),"Certificate of Achievement for Excellence in Financial Reporting, awarded by the Government Finance Officers Association of the United States and Canada.  Reflects an easily readable and efficiently organized Comprehensive Annual Financial Report (CAFR). ""1"" equals yes, ""0"" equals no.",Collection Method: Measure reflects award for previous FY CAFR.,On target is positive,General,1,1,1,1,1,1,1,1,"We have not yet , but still expect to receive the GFOA Award.",,F General Administration & Finance,Yes,No,No,No,Yes,No
CON,CONTROLLER,"Lane, Maura",ACCOUNTING OPERATIONS AND SYSTEMS,"Provide accurate, timely financial reporting",CON.FDG.12.224.224,Number of days from previous fiscal year end to complete the City's comprehensive financial report,The number of days to complete the Comprehensive Annual Financial Report (CAFR) is the date when the auditors complete their fieldwork subtracted from June 30th.,Collection Method: Date used by the external auditors on their opinion letters for the City annual audit based on data from the previous fiscal year.,Below target is positive,General,212,151,192,192,150,150,150,150,Should be 192 days.,,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",ACCOUNTING OPERATIONS AND SYSTEMS,"Provide effective systems for Citywide payroll, budgeting, accounting and purchasing functions",CON.FDG.07.211.211,Average Percentage of scheduled time that systems are available for departmental use,"REVISED TO INCLUDE ALL SYSTEMS IN FULL PRODUCTION, NOT JUST FAMIS The system should be available every day from 7 AM to 6 PM daily except for scheduled maintenance.  There should be no more than 3 hours of unscheduled down time per month.",Collection Method: We track system availabiity on a spreadsheet by tracking the date and time of system problems and send notices to users by email.  Data is kept in: N:Finance\\\\AOSD Systems Performance Measures\\\\Unscheduled Systems Downtime.. Timing:  Data is updated whenever a system is unavailable.,Above target is positive,Percent,0.9698,0.9819,0.9925,0.9925,0.99,0.99,0.99,0.99,EIS VM servers continue to provide reliability and stability to EIS processes. Cutover of PowerPlay Enterprise Server to VM on 7/18/2013 replaced last trouble-prone physical server.,,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",CITY SERVICES AUDITOR,"Audit departments, contractors, and concessions timely to minimize risk to the City",CON.FDO.04.230.230,Count of code required audits completed,Measure definition: The measure will be a simple count of the number of Administrative Code mandated audits completed.,"Collection Method and frequency: Mandated audits will be counted as completed. The count will capture all audits done during the applicable reporting period ( mid-year, fiscal year-end and as requested.",Above target is positive,General,28,53,11,25,25,25,25,25,Based on actual number of audits completed as mandated by Admin Code and work plan,,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",CITY SERVICES AUDITOR,Conduct audits and projects efficiently,KPI994731536602454,Percentage of audits completed within hours budgeted ,"Each audit has a budgeted number of hours required to perform the work and issue a report. This measure will take the budgeted number of hours required to complete the audit, over the actual number of hours used to perform the work and issue a report.  Audits that were completed within the budgeted number of hours will be considered as  ""completed within hours budgeted.""  ","Collection Method: For each audit that is completed within the applicable reporting period, extract data on budgeted hours and actual hours from OpenAir. Frequency: The value for this measure will be updated as audits are completed and are issued. ",Above target is positive,Percent,0,0,0.51,0.51,0.8,0.8,0.8,0.8,FY12-13 actual of 51% was based on the actual number of audits completed within hours budgeted. Generated as of 8/29/2013.,,,No,No,No,No,No,No
CON,CONTROLLER,"Lediju, Tonia",CITY SERVICES AUDITOR,Conduct audits and projects efficiently,KPI994771536657972,Percentage of planned audits completed within scheduled deadline,"Each planned audit (i.e., those that are included in the published CSA workplan) has a scheduled deadline for completion. The date is the actual date the final report is released to the client and/or the Controller's website. This measure will be a simple count of all audits that have met the scheduled deadline for completion and then divided by the count for all completed planned audits. Audits that were completed within the scheduled deadline will be considered as ""completed within scheduled deadline.""  ","Collection Method: For each audit that is completed within the applicable reporting period, extract data on scheduled deadline for completion and actual date of completion from OpenAir. Frequency: The value for this measure will be updated as audits are completed and are issued. ",Above target is positive,Percent,0,0,0.46,0.46,0.75,0.75,0.75,0.75,FY12-13 actual is based on the actual number of audits completed within scheduled deadline. Efforts are underway to ensure completion of deliverables within scheduled deadline.,,,No,No,No,No,No,No
CON,CONTROLLER,"Stevenson, Peg",CITY SERVICES AUDITOR,Conduct audits and projects efficiently,KPI994781536687677,Percentage of planned projects completed within scheduled deadline,"Each planned project (i.e., those that are included in the published CSA workplan) has a scheduled deadline for completion. The date is the actual date the final major milestone, as indicated in a project agreement, is reached. This measure will be a simple count of all projects that have met the scheduled deadline for completion and then divided by the count for all completed planned projects.  Projects that were completed within the scheduled deadline will be considered as ""completed within scheduled deadline."" ","Collection Method: For each project that is completed within the applicable reporting period, extract data on scheduled deadline for completion and actual date of completion from OpenAir.  Frequency: The value for this measure will be updated as projects are completed and are issued.",Above target is positive,Percent,0,0,0.47,0.47,0.75,0.8,0.8,0.8,"As of the 6 month mark, 100% of completed projects were on schedule. However; as more FY13 projects are closed out, those that lag their schedule will come into the calculation and drop the number. As of the 6 month mark, about 78% of in-progress projects were on schedule.",,,No,No,No,No,No,No
CON,CONTROLLER,"Stevenson, Peg",CITY SERVICES AUDITOR,Conduct audits and projects efficiently,KPI994791536709125,Percentage of projects completed within hours budgeted,"Each project has a budgeted number of hours required to perform the work and complete the deliverables.  This measure will take the budgeted number of hours required to complete the project, over the actual number of hours used to perform the work and complete the deliverables.  Projects that were completed within the budgeted number of hours will be considered as ""completed within hours budgeted.""","Collection Method: For each project that is completed within the applicable reporting period, extract data on budgeted hours and actual hours from OpenAir. Frequency: The value for this measure will be updated as projects are completed. ",Above target is positive,Percent,0,0,0.53,0.53,0.8,0,0.8,0.8,"Staff training, multiple projects are affecting efficiency",,,No,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",CITY SERVICES AUDITOR,"Provide effective consulting, technical assistance and audit services to City departments to improve their operations",KPI13098521978837,Percentage of audit recommendations implemented within 2 years after report issuance.,"All recommendations included in the Unit's audits and assessments are followed up on at 6-months, 12-months, 18 -months, and 24-months after the date of issuance to determine whether corrective actions have been taken by the department to address recommendations. A recommendation is considered implemented or closed, if, based on the follow-up results, the department has taken appropriate corrective actions to address the original intent of the recommendation.","CSA Audits will use the results of its' recommendation follow-up at the 24-month juncture (i.e., from time of report issuance) as the basis for calculating this percentage. Results of 24-month follow-up will be reviewed to derive this percentage and determine what portion of the population of recommendations have been implemented or closed",Above target is positive,Percent,0,0,0,0,0,0,0,0.85,,,,No,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",CITY SERVICES AUDITOR,"Provide effective consulting, technical assistance and audit services to City departments to improve their operations",KPI146994876815,Percentage of auditee ratings that are good or excellent,"Measure definition: An auditee survey document is used to inquire of auditees about the effectiveness, quality, timeliness of the audit, professionalism of audit staff, and communication of concerns and findings during the audit (regardless of agreement or disagreement of the findings).","Collection Method and frequency: Surveys will be sent to each applicable auditee as part of the closeout process for each project/audit. Rating calculation will capture all survey results during the applicable reporting period (mid-year, fiscal year-end and as requested.",Above target is positive,Percent,0.73,0.75,0.7,0.7,0.8,0.8,0.8,0.8,"The actual value for the year-end measure (FY2012-13) was 70%, based on actual Auditee Survey Results completed between 7/1/2012 - 6/30/2013.",,,No,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",CITY SERVICES AUDITOR,"Provide effective consulting, technical assistance and audit services to City departments to improve their operations",CON.FDO.01.226.226,Percentage of client ratings for technical assistance projects that are good or excellent,"Measure definition: Project evaluations are collected which ask clients and users about the quality of the outcomes, project management and professionalism of the city performance staff.  Clients and users rate on a five point scale from Execllent to Poor.  Multiple evaluations may be collected if a project has several sponsors or users.","Collection Method and frequency: Evaluations will be done as part of the closeout process for each project and. Rating calculation will capture all evaluations done during that period (six months, fiscal year total, etc.)",Above target is positive,Percent,0.98,0.95,1,1,0.95,0.95,0.9,0.95,none,,F General Administration & Finance,Yes,No,No,No,Yes,No
CON,CONTROLLER,"Lane, Maura",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,CON.XXX.23.253.253,# of employees for whom performance appraisals were scheduled,"New measure requested by Mayor on 8/15/05.  This is the number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review shold be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.","Collection Method: CON HR Office files. Timing:  Employees scheduled for performance appraisals varies throughout the fiscal year as employees enter or leave the department or promote within.  Accordingly, data will be collected at the end of each fiscal year.",Above target is positive,General,174,174,165,165,195,195,195,195, ,,F General Administration & Finance,Yes,No,No,No,No,Yes
CON,CONTROLLER,"Lane, Maura",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,CON.XXX.23.254.254,# of employees for whom scheduled performance appraisals were completed,"New measure requested by Mayor on 8/15/05.  This is the number of applicable employees in a department for whom a performance appraisal was conducted amd completed during the fiscal year.  ""Completed"" means an appraisal form has been filled out and is in the employee's personnel file.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.   Departments can do appraisals for temporary employees at their discretion.","Collection Method: CON HR Office files. Timing:  Employees scheduled for performance appraisals varies throughout the fiscal year as employees enter or leave the department or promote within.  Accordingly, data will only be collected at the end of each fiscal year.",Above target is positive,General,174,156,135,135,0,0,198,195, ,,F General Administration & Finance,Yes,No,No,No,No,Yes
CON,CONTROLLER,"Lane, Maura",DEPARTMENT-WIDE/OTHER,Recognize and reward employee contributions and ensure employee satisfaction,CON.XXX.18.250.250,"Percentage of employees who agree with the statement:  Overall, I'm satisfied with the Controller's Office as a place to work and grow",New measure developed in FY07 by Controller's Office as a result of ongoing evaluation and discussion relating to goal setting and tracking for the Office. The Office has set goals for training.  A component of this measure is to identify areas in the workplace enviornment that can be improved and barriers to growth so that corrective actions can be taken.,Collection Method: CON Bi-Annual Climate Survey. Timing:  After issuance of Bi-Annual Climate Survey.,Above target is positive,Percent,0.9,0,0.86,0.86,0.9,0.9,0,0.9, ,,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",ECONOMIC ANALYSIS,Provide timely economic and operational analyses to inform legislation and management decisions,KPI330839408596934,Percentage of OEA economic impact reports completed by the hearing date,Percentage of OEA economic impact reports completed by the hearing date.,Technical Description: Data is collected by comparing the date a report is filed with the Clerk of the Board of Supervisors with the date the item is first heard in committee.,Above target is positive,Percent,1,1,1,1,1,1,1,1, ,,F General Administration & Finance,Yes,No,No,No,Yes,No
CON,CONTROLLER,"Lane, Maura",EMERGE,"Provide efficient and effective central employment management systems functions - Payroll, Time Reporting, Human Resources",KPI10141295886735,"On-time delivery of business information to business partners, through reports and/or data transmission",Percentage of reports delievered on-time by system Percentage of data transmissions delievered on-time GEAC Reports - 272 Data Transmissions - 132 PeopleSoft Reports - 587 Data Transmissions - 74 TESS Data Transmissions - 6 No more than 5% of the combined reports/data transmission by systems are late,Each system support team tracks delayed delivery through incident logs,Above target is positive,Percent,0.999,0.9986,0.9962,0.9962,0.999,0,0.999,0.8,"The overall figure is 99.43%. This number includes GEAC, PeopleSoft 7.5, TESS and eMerge PeopleSoft. The number for eMerge only is higher (99.62%) but only tracks the success of outbound interfaces. It was not possible to track success of all reports and data transmissions in eMerge, so we hope to replace this metric to something more meaningful and measurable in FY14.",,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",EMERGE,"Provide efficient and effective central employment management systems functions - Payroll, Time Reporting, Human Resources",KPI10141095667840,Percentage of scheduled time that systems are available for central and local departmental use,"Standard hours of availability by system: PeopleSoft HR/Benefits - 5 a.m. to 8 p.m. (15 hours daily) GEAC Payroll - 24 hours daily TESS Time Reporting - 24 hours daily, except 9 a.m. Thursday to Noon Friday, alternating weeks No more than 5% unscheduled down time per month per system.","Each system support team tracks application downtime using incident logs that describe the outage, duration and resolution.",Above target is positive,Percent,0.995,0.9994,0.9956,0.9956,0.999,0,0.999,0.999,"FY13 number of 99.66% includes GEAC, PeopleSoft 7.5, TESS and eMerge PeopleSoft. The number for eMerge only is lower (99.56%).",,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura","MANAGEMENT, BUDGET AND ANALYSIS","Provide accurate, timely information to support fiscal planning",CON.FEB.10.235.235,Percentage by which actual General Fund revenues vary from prior year revised budget estimates,"This is the difference between budgeted and actual General Fund revenues plus transfers in.  The budget figures are the Revised Budget as stated in the annual Six-Month Budget Status Report.  The actual revenues are as stated in the CAFR.  The target is a maximum percentage; i.e., the objective is to project revenues as close to actual as possible. 10/6/11: All historic year actuals moved up by one year to correspond to new definition. DMM","Collection Method: Difference between total General Fund revenues and transfers in per the CAFR and 6-Month Report projection, electronic copy of caluclation saved located in: N:\\\\Budget\\\\Policies_Procedures\\\\Performance Measures - PM #1 and 2. A hard copy of documentation is kept in Controller's Office, Room 308 of City Hall. Timing:  Data is from the CAFR which is typicically available in late November or early December of each year for the preceding fiscal year.  Budgetary comparisons are updated when the CAFR is completed and published.",Below target is positive,Percent,0.0088,0.0612,0.0478,0.0478,0.02,0.02,0.02,0.02,"FY13-14 final numbers will be reported in January 2014 using the FY12-13 CAFR,",,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura","MANAGEMENT, BUDGET AND ANALYSIS","Provide accurate, timely information to support fiscal planning",CON.FEB.10.237.237,Percentage by which actual revenues vary from mid-year estimates,"This is the difference between projected and actual General Fund revenues plus transfers in.  The projections are from the annual Six-Month Budget Status Report.  The actual revenues are as stated in the CAFR.  The target is a maximum percentage; i.e., the objective is to project revenues as close to actual as possible.",Collection Method: Difference between CAFR actuals and the 6-Month Report projection. An electronic copy of the spreadsheet is located in: N:\\\\Budget\\\\Policies_Procedures\\\\Performance Measures - PM #1 and 2.  A hard copy is located in City Hall Room 308. Timing:  Late November/early December each year.  Budgetary comparisons are updated when the CAFR is completed and published.,Below target is positive,Percent,0.019,0.038,0.0102,0.0102,0.015,0,0.015,0.015, ,Final FY13-14 numbers will be reported in January 2014 using the FY12-13 CAFR.,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",PAYROLL & PERSONNEL SERVICES,"Provide accurate, timely financial transactions",CON.XXX.11.241.241,Percentage of payroll transactions not requiring correction,"Corrections to payroll transactions include cancellations, reissues, and recovery of overpayments (PPSD).  Approximately 31,000 employees receive pay deposits/checks each pay period.  Retroactive payments such as those generated by a labor decision may result in additional paychecks.","Collection Method: Problems/corrections are counted manually and entered in an excel spreadsheet entitled ""Payroll Summary Report:  Problems vs. Checks Issued.""  Maintained at PPSD office, One South Van Ness, 8th Floor. Timing:  Every pay period.",Above target is positive,Percent,0.992,0.993,0.992,0.992,0.965,0.965,0.985,0.985,FYE exceeded expectations,"Based on 840,613 total employees paid divided by 6,847 pdfs processed = .8% so 99.2% payroll transactions not requiring correction.",F General Administration & Finance,Yes,No,No,No,Yes,No
CON,CONTROLLER,pmadmin,PAYROLL & PERSONNEL SERVICES,"Provide accurate, timely financial transactions",KPI999851561673649,Percentage of Problem Description Forms (PDF) processed within 2 pay periods of receipt,The number of problem description forms received from departments each pay period and the percent of those processed each pay period.,Data collected from payroll statistical reports. Data is collected daily. Data is reflective of period between March 15th through 6/27/2013.,Above target is positive,Percent,0,0,0.829,0.829,0.8,0.8,0.9,0.94, ,,,No,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",PUBLIC FINANCE,Reduce the City's debt service costs through bond refinancings,ADM.FFG.01.32.32,Number of bond refinancings,Number of refunding bonds issued.,Collection Method: Data provided by Office of Public Finance staff Timing:  Upon request to Finance staff,On target is positive,General,4,2,0,0,2,0,4,2,"No refundings issued. The Mator and BOS approved refunding legislation on August 7, 2013.",,F General Administration & Finance,Yes,No,No,No,No,No
CON,CONTROLLER,"Lane, Maura",PUBLIC FINANCE,Reduce the City's debt service costs through bond refinancings,ADM.FFG.01.33.33,Present value savings from bond refinancings,Net debt service savings on a present value basis.,Collection Method: Data provided by Office of Public Finance staff. Timing:  Upon request to Finance staff.,Above target is positive,Currency,17000000,47130000,0,0,5000000,5000000,5000000,5000000,"No refundings issued. The Mayor and BOS approved refunding legislation on August 7, 2013.",,F General Administration & Finance,Yes,No,No,No,Yes,No
CON,CONTROLLER,"Lane, Maura",PUBLIC FINANCE,Reduce the City's debt service costs through bond refinancings,CON.FEB.10.238.238,Ratings of the City's General Obligation Bonds - Average of Three Rating Agencies (1 equals top half of investment ratings)," DEsignations assigned by credit rating agencies to give relative indications of credit quality. More specifically, an evaluation indicates the likelihood that a debt issuer will be able to meet scheduled interest and principal repayments. Typically, AAA+ or Aaa1 is  best quality, and B is speculative quality.  Target is to be in the top half of investment grade ratings.  1 = Target Met; 0 = Less than Top Half of Investment Grade.  In Nov 2006, was proposed to move this measure to a Citywide measure, housed in the Controller's.","Collection Method: Ratings are from Fitch, S&P and Moody's.   The Office of Public Finance also monitors the city's G.O. bond ratings and collects the documentation explaining those ratings (Nadia Sesay, 554-5956). Timing:  Rating agencies renew the City's GO bond rating at least as often as the City sells GO bonds.",On target is positive,General,1,1,1,1,1,1,1,1,"Met target. Moody's and Fitch's ratings upgraded the City's ratings to Aa1/AA from Aa2/aA-. Standard & Poor's revised the City's outlook to ""stable"" from ""negative"".",,F General Administration & Finance,Yes,No,No,No,No,No
CPC,CITY PLANNING,"DeMartini, Keith",CITYWIDE PLANNING,Engage with the community regarding Planning-related projects,KPI87199239978840,Percent of community engagement event participants who rate the event as successful,The percent of community engagement event participants who rate the event as being successful.  Successful can be defined by …,"After each community engagement event, an evaluation shall be distributed to all attendees.  A question should be asked on each survey to gather this data for all events held. Data storage location: Project Managers/POE database library, (Number saying event is successful)/(Total number of surveys). Measure owner: Jose Campos, and Joanna Linsangan.",Above target is positive,Percent,0,0,0.89,0.89,0.8,0.8,0.8,0.8,This measure was recently implemented this fiscal year. A general feedback form was developed and distributed to all staff for use at all public meetings.,,,No,No,No,No,No,No
CPC,CITY PLANNING,"DeMartini, Keith",CITYWIDE PLANNING,Perform timely and comprehensive review of projects,KPI87201239995454,Percent of general plan referrals completed within 45 days,The percent of general plan referrals that are completed within 45 days.,"Calculate summary during quarterly volume trending summary to Senior Management, Data storage location: PTS, 1650 Mission St, 4th Floor, (Referrals completed w/n 45 days)/(Total number of referrals completed). Measure owner: Jose Campos, and Alton Chinn.",Above target is positive,Percent,0,0.96,0.8,0.8,0.9,0.9,0.9,0.9,"Due to several challenging cases which required numerous correspondence with project sponsors, not all cases were completed within the 45 day time target.",,,No,No,No,No,Yes,No
CPC,CITY PLANNING,"La, Belle",CITYWIDE PLANNING,Successfully implement planning priority projects,KPI12353767904468,"Central SoMa area plan to be adopted by the Board of Supervisors by June of 2015 (1=Yes, 0=No)","The Central SoMa Plan proposes to build off the neighborhood's success, while addressing many of its challenges, with a comprehensive strategy that will address such issues as land use, building size and heights, transportation, the public realm (including sidewalks and open space), preservation of historic buildings and environmental sustainability.",,Above target is positive,General,0,0,0,0,0,0,0,0,,,,No,No,No,No,No,No
CPC,CITY PLANNING,"La, Belle",CITYWIDE PLANNING,Successfully program development impact fee revenue,KPI12127748930062,Percent of projected development impact fee revenue for the following 2 fiscal years programmed by fiscal year end,,,Above target is positive,Percent,0,0.92,0.87,0.87,0.9,0.9,0.9,0.9, ,,,No,No,No,No,No,No
CPC,CITY PLANNING,"Wong, Donnie",CURRENT PLANNING,Perform timely and comprehensive review of applications,KPI114425396643477,Percent of Historical Resources Evaluation Reports (HRERs) completed within 60 days,"A Historic Resource Evaluation Report (HRER) is the primary technical document used by the Planning Department to evaluate historic resources and potential projects, according to the California Environmental Quality Act (CEQA).  The Planning Department offers their response to these document through a Historic Resource Evaluation Response.","PTS system report, Data storage location: PTS, 1650 Mission Str. 4th Floor, (Number of HRERs completed within 60 days)/(Total number of HRERs). Measure owner: J. Joslin, and Alton Chinn.",Above target is positive,Percent,0,0,0,0.21,0.75,0.5,0.75,0.75,"The number of HRERs, along with other project demands on Preservation staff time and other generally heightened permit activity, rose significantly during the period.  While staff was added, key and highly-production staff was also lost to attrition.  New staff has ramped up well, additional staff are in the process of being added, and additional process improvements have been made; in order to shorten processing times in the next quarter",,,No,No,No,No,No,No
CPC,CITY PLANNING,"DeMartini, Keith",CURRENT PLANNING,Perform timely and comprehensive review of applications,KPI87097238645795,Percentage of all building permits involving new construction and alterations review that are approved or disapproved within 90 days,"When a member of the public wants to conduct major physical improvements to existing construction or to develop property, the proposal comes to the Planning Department for review to ensure the project conforms with existing land use requirements as specified in the Planning Code.  Excludes Section 311 and 312 noticing.","PTS system report, DBI's permit tracking system, (Number of permits approved within 90 days)/(Total number of permits approved), Measure Owner: K. Amdur & A. Chinn",Above target is positive,Percent,0,0.66,0.63,0.63,0.75,0.75,0.75,0.75,"The number of permits rose significantly during the period.  While staff was added, key and highly-production staff was also lost to attrition. New staffing was not yet sufficient during training to keep pace with the heightened permit activity, and positions allocated through the supplemental appropriation process were not yet implemented due to required hiring procedures.",,,No,No,No,No,Yes,No
CPC,CITY PLANNING,"DeMartini, Keith",CURRENT PLANNING,Perform timely and comprehensive review of applications,KPI87197239854997,Percentage of conditional use applications requiring Commission action approved or disapproved within 180 days,Conditional use may be issued to individuals who propose a use for a property that requires authorization by the Planning Commission in specific situations and under certain conditions.  Conditional Use authorizations may be granted after a public hearing  before the Planning Commission.,"PTS system report, Data storage location: PTS, 1650 Mission St, 4th Floor, (Number of Cus approved or disapproved within 180 days)/(Total number of Cus). Measure owner: K. Amdur, and Alton Chinn.",Above target is positive,Percent,0,0.52,0.57,0.57,0.7,0.7,0.7,0.7,"The number and scale of projects subject to Conditional Use rose during the period.  While staff was added, key and highly-production staff was also lost to attrition. The net-stability of positions, coupled with the increase in reviews, resulting in a modest change indicates an efficient staff and Commission effort.  With the addition of numbers of new staff in the coming period, significant gains are anticipated in the near term.",,,No,No,No,No,Yes,No
CPC,CITY PLANNING,"DeMartini, Keith",CURRENT PLANNING,Perform timely and comprehensive review of applications,CPC.FAI.01.280.280,Percentage of public initiated Discretionary Review applications approved or disapproved within 120 days,"The Planning Commission may use its discretionary powers to review any building permit application, including those which otherwise meet the minimum requirements and standards of the Planning Code.  The measure is the percent of public initiated discretionary review requests completed in 90 days.  This is measured from the filing date to the withdrawn date or the final Commission action date.","Collection Method: Permit Tracking System (PTS) report. Data Storage location: PTS, 1650 Mission St, 4th Floor. (Number of DRs approved or disapproved within 90 days)/(Total number of DRs). Measure owner: Kelley Amdur, and Alton Chinn.",Above target is positive,Percent,0.61,0.27,0.62,0.62,0.8,0.7,0.8,0.8,"The number and complexity of Discretionary Reviews rose significantly during the period alongside generally heightened permit activity.  While staff was added, key and highly-production staff was also lost to attrition. Additional staffing is imminent, but was not yet sufficient during this quarter to meet established targets.",,F General Administration & Finance,Yes,No,No,No,Yes,No
CPC,CITY PLANNING,"DeMartini, Keith",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,CPC.XXX.01.298.298,# of employees for whom performance appraisals were scheduled,"The number of employees in a department for whom a performance appraisal is to be conducted.  DHR policy is that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months. Departments can do appraisals for temporary employees at their discretion.  This is a required measure, per Mayor's policy.",Completed performance appraisal forms kept on file in employee personnel files and summarized by the Personnel Analyst. Data Storage location: Employee's personnel files and summary with Personnel. Data Calculation: Count of employee appraisals that are scheduled. Measure owner: Alicia John-Baptiste.,Above target is positive,General,129,136,138,138,158,158,153,158,A number of employees have terminated their employment with the department. ,,F General Administration & Finance,Yes,No,No,No,No,Yes
