Dept,Department,Owner,Program,Goal,KPI_CODE,Performance.Measure,Description,Technical.Description,Performance.Pattern,Unit.of.Measure,FY.2012...Total.Actual.Data,FY.2013...Total.Actual.Data,FY.2014...June.Actual.Data,FY.2014...Total.Actual.Data,FY.2014...Total.Target.Data,FY.2014...Total.Projected.Data,FY.2015...Total.Target.Data,FY.2016...Total.Target.Data,FY.2014...Yr.End.Actual.Explanation,FY.2014...Yr.End.Dept.Comment,Major.Service.Area,Annual.Performance.Measure.Report,City.Survey.Report,CAFR.Report,Government.Barometer.Report,Mayor.s.Budget.Book,Performance.Appraisal.Report,met.goal,goal.percent
DPH,PUBLIC HEALTH,"Sangha, Baljeet",COMM HLTH - PREVENTION - BEHM,Protect and respond to the environmental health of San Francisco residents,DPH.DPB.01.380.380,Percentage of environmental health complaints abated,"Percentage of complaints that are abated within 30 days through the Environmental Health Section's Public Services Program (Code Enforcement Program).  Staff works with property owners, tenants, tourists, hotels, business owners and employees, other government agencies and the Office of the City Attorney to correct Health code violations.","Collection Method: EHS Agency internal database at 1390 Market St / Fox Plaza. Timing:  The EHD database is the primary source of the complaint and inspection statistics provided.  The database is updated on a daily basis and is reliable from day to day and month to month for monthly stat reports.  Inspection staff enter their ""dailies"" every day and post their inspections on a daily basis.",Above target is positive,Percent,0.81,0.7587,0.9058,0.8429,0.8,0.8,0.8,0.8,"With staff training and setting higher expectations and accountability standards, we exceeded our inspection and response to Code Enforcement with 90.58% abatement ",,D Community Health,Yes,No,No,No,No,No,TRUE,5.36
DPH,PUBLIC HEALTH,"Sangha, Baljeet",COMM HLTH - PREVENTION - HLTH EDUCATION,Decrease injury and disease among San Francisco residents,DPH.DPH.01.383.383,"Number of children who receive dental screening, fluoride varnish, education or sealant","Number of children in San Francisco who receive dental screenings, education, fluoride varnish  or sealants through DPH's Dental Services, MCAH's Child Care Health Project or Child Health & Disability Prevention Program.  These three DPH programs  work with children at elementary schools where more than 50 percent of the student body qualifies for the Free and Reduced School Lunch Program, at numerous state subsidized preschools throughout the City that serve lower income families, and at WIC and other sites that serve low-income familes throughout the county.","Collection Method: Patient dental records as reported by service providers DPH - Dental Services and MCAH programs. This same information is collected for the State in order to report on the progress of grant projects. Timing:  Dental program data is entered into MS Excel  and MS  Access programs and is prepared for semi-annual and annual reports to the grantor, and other interested parties.",Above target is positive,General,7201,7351,6786,8946,4500,4000,4000,4000,"The FY 2014 Year End Actual numbers are higher than expected totals. SF DPH Dental Services was able to increase their annual kindergarten dental screening this year, even after a delay due to MOU difficulties.  They also expanded into upper grades to place sealants. The SF Child Care Health Project also screened more children this year. ",,D Community Health,Yes,No,No,No,Yes,No,TRUE,98.8
DPH,PUBLIC HEALTH,"Sangha, Baljeet",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,DPH.XXX.01.393.393,# of employees for whom performance appraisals were scheduled,"Number of DPH employees for whom a performance appraisal is to be conducted.  City policy requires that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.  Departments can do appraisals for temporary employees at their discretion.","Collection Method: The data is tracked on HRiMs database (Oracle).  When managers complete and submit the performance appraisal, they are clocked in and entered in the database.  The location and copies of the actual PAs are in the employee personnel files located in the HR offices (Central Office, LHH, and SFGH. Timing:  HR data is updated daily. It is considered reliable within one month.",Above target is positive,General,5675,5744,6009,6009,5500,5554,5672,5672,We have exceeded the target for this fiscal year. ,,D Community Health,Yes,No,No,No,No,Yes,TRUE,9.25
DPH,PUBLIC HEALTH,"Sangha, Baljeet",DEPARTMENT-WIDE/OTHER,All City employees have a current performance appraisal,DPH.XXX.01.394.394,# of employees for whom scheduled performance appraisals were completed,"Number of DPH employees for whom a performance appraisal was completed.  'Completed' means that the appraisal form was completed and is in the employee's personnel file.  City policy requires that all permanent and provisional employees must have an annual appraisal.  For new employees, the first review should be scheduled according to their applicable probationary period.  For other employees, reviews should be conducted every 12 months.  Departments can do appraisals for temporary employees at their discretion.","SOURCE: The data is collected and reports run through the HRiMs database (Oracle).   COLLECTION METHOD: When managers complete and submit the performance appraisal, they are clocked in and entered in the database by Human Resources staff members. COLLECTION FREQUENCY: Human resources data is updated daily. It is considered reliable within one month. STORAGE LOCATION: The location and copies of the actual performance appraisals are in the employee personnel files located in the HR offices (Central Office, Laguna Honda, and San Francisco General Hospital). ",Above target is positive,General,5194,4842,4136,4136,4480,4443,4537,4537,"We are within range of target. This figure is the result of all of the  combination of performance appraisals received throughout DPH. The timeframe for the evaluation period vary, however, because at Laguna Honda, a calendar year is used as the evaluation period and for all other locations throughout DPH, the evaluation period is a fiscal year.   ",,D Community Health,Yes,No,No,No,No,Yes,FALSE,-7.68
DPH,PUBLIC HEALTH,"Sangha, Baljeet",FORENSICS - AMBULATORY CARE,Provide continuity of care for recipients of DPH services,DPH.DMF.01.367.367,Number of jail health screenings,"Number of jail health screenings at the San Francisco County Jail conducted by DPH/Community Health Network nurses. Jail Health Services (JHS) provides a comprehensive and integrated system of medical, psychiatric and substance abuse care to the inmates in the San Francisco County Jail system.  After triage, inmates needing further assistance are sent for a screening. ",Collection Method: Jail Health Encounter data (CHART System) Timing:  Jail data is entered into a database daily through normal patient charting.  Jail Health Services run reports monthly.,Above target is positive,General,16402,16566,17249,26111,17000,17000,16000,16000,Exceeded target.,,D Community Health,Yes,No,No,No,Yes,No,TRUE,53.59
DPH,PUBLIC HEALTH,"Sangha, Baljeet",LAGUNA HONDA - LONG TERM CARE,Improve health outcomes among San Francisco residents,KPI87966189971398,Average Daily Population at Laguna Honda Hospital,"Laguna Honda Hospital (LHH) is a skilled nursing (SNF) and rehabilitation facility that provides a residential setting for physically or cognitively impaired individuals who require SNF-level nursing assistance, rehabilitation services, and medical care. LHH offers acute care for those patients whose condition changes to require this level of care. The average daily census (ADC) is the total number of residents in-house at LHH at the time the census is taken each day.","Admissions, discharges, and transfers (relocations) are entered into the Invision Clinical Data System when any of these activities occur.  Reports for ADC data from Invision) can be generated on a daily, monthly and/or quarterly basis.  Numbers are drawn from the Monthly Average Census Report, using the average from the total daily census column. THIS MEASURE IS USED ONLY FOR THE BIMONTHLY BAROMETER REPORT (NOT THE BUDGET BOOK).",Above target is positive,General,755.33333,756.11208,759.65,759.13,758,759,759,759,Average daily population is consistent with past trends and met projected goal of 98% occupancy. ,,D Community Health,Yes,No,No,Yes,No,No,TRUE,0.15
DPH,PUBLIC HEALTH,"Sangha, Baljeet",LAGUNA HONDA - LONG TERM CARE,Improve health outcomes among San Francisco residents,DPH.DA5.01.359.359,Number of long-term patient days at LHH,"Number of long term care patient days at Laguna Honda Hospital and Rehabilitation Center (LH).  LH provides a residential setting for physically or cognitively impaired individuals who require continuous nursing assistance, rehabilitation services, medical care, and monitoring.  LH has sufficient staff to provide long-term care for 780 individuals and receives reimbursement for services based, for the most part, on the number of patient days.",Collection Method: Patient Utilization Statistics Laguna Honda Hospital. Timing:  Data is input daily into Invision and is accurate within one day.  Admission statistics are reviewed weekly.,On target is positive,General,272507,274762,275342,414472,271560,271560,275000,275000,Actual patient days exceeded targeted goal by 1.4%.  This is a positive sign for access of San Franciscans needing Laguna Honda services and for the purpose of getting reimbursed for services provided. ,,D Community Health,Yes,No,No,No,No,No,FALSE,47.37
DPH,PUBLIC HEALTH,"Sangha, Baljeet",LAGUNA HONDA - LONG TERM CARE,Improve health outcomes among San Francisco residents,DPH.DA5.01.361.361,Percentage of new admissions to LHH who are homeless,"This measure captures the percentage of people admitted to Laguna Honda Hospital's skilled nursing units with no record of a permanent residence.  The transferring facility transfers the patients to Laguna Honda with a home address, noting “Homeless SF” for those meeting the City’s criteria for homelessness. The reliability of these data is somewhat compromised because it is collected by a variety of staff-people from different organizations. Even for patients who have been in the DPH system for a long period of time, their health issues (e.g., Alzheimer's) may cause problems accessing accurate information.","SOURCE: Data is culled from Invision, DPH's shared patient tracking system.  Data entered nightly into Invision & captured in a SQL database.  Ad hoc queries run for PM projects. COLLECTION METHOD: This data originates from different sources, but ends up in Invision.  The Home Address field reads “Homeless SF.” The Laguna Honda Admissions staff collects this from patients coming from home. If the patient comes from a hospital outside the DPH network, their personal information is sent with transfer data.  Patients that come from SFGH have a patient record in the database.  Readmissions to Laguna Honda of established patients are not included. COLLECTION FREQUENCY: Data is input daily into Invision on a daily basis, and is accurate within one day.  Admission statistical reports are reviewed weekly.  Reports for the performance measures are obtained ad hoc. STORAGE LOCATION: Invision: Malvern, PA & SQL database: SFGH - 1001 Potrero Ave.",On target is positive,Percent,0.0784,0.04,0.05,0.065,0.08,0.08,0.08,0.08,Nominal change in data. ,,D Community Health,Yes,No,No,No,Yes,No,FALSE,81.25
DPH,PUBLIC HEALTH,"Sangha, Baljeet",LAGUNA HONDA - LONG TERM CARE,Improve health outcomes among San Francisco residents,DPH.DA5.01.360.360,Percentage of new admissions to LHH who are Medi-Cal clients,"Percentage of patients newly admitted to LHH who are on Medi-Cal at the time of admission.  Because nearly all patients admitted to LHH are Medi-Cal eligible, those who are not enrolled before admission will be enrolled after.",Collection Method: Hospital Admissions Data Timing:  Data is input daily into Invision and is accurate within one day.  Admission statistics are reviewed weekly.,On target is positive,Percent,0.86,0.8956,0.88,0.88,0.8,0.82,0.33,0.33,Actual Percentage of admissions who are Medi-Cal clients exceeded targeted goal by 6%. ,,D Community Health,Yes,No,No,No,No,No,FALSE,90
DPH,PUBLIC HEALTH,"Sangha, Baljeet",LAGUNA HONDA HOSP - ACUTE CARE,Provide acute care services,DPH.DBG.01.362.362,Number of patient days at Laguna Honda acute care and rehabilitation facilities,Number of acute care inpatient days at LHH acute care and rehabilitation facilities.  The acute care unit operates to improve the quality of care provided to residents of the skilled nursing facility and is budgeted at licensure.  Maintenance of an acute unit on site allows substantially enhanced reimbursement rates for the associated skilled nursing services.,Collection Method: Patient Utilization Statistics at Laguna Honda Hospital Timing:  Data is input daily into Invision and is accurate within one day.  Admission statistics are reviewed weekly.,On target is positive,General,1945,1225,971,1526,1800,1110,1042,1042,LHH acute care inpatient days in FY2014 were below target.  There were less Laguna Honda skilled nursing patients needing transfer to the acute care unit. ,,D Community Health,Yes,No,No,No,No,No,FALSE,84.78
DPH,PUBLIC HEALTH,"Sangha, Baljeet",MENTAL HEALTH - CHILDREN'S PROGRAM,Increase the number of high-risk children served in mental health treatment settings,DPH.FAM.01.392.392,San Francisco residents under 19 years of age receiving services provided by Children's Mental Health Services,"Unduplicated number of clients who access DPH�s mental health care through its Community Behavioral Health Services programs (including contractors). The San Francisco Behavioral Health Plan offers a full range of specialty Behavioral health services provided by a culturally diverse network of community Behavioral health programs, clinics and private psychiatrists, psychologists, and therapists. Most people seeking behavioral health services need only basic counseling services. For those who are in need of more extensive treatment, the S.F. Behavioral Health Plan offers an array of services.","Collection Method: The data used for this projection comes from the CMHS Billing and Information system (INSYST) which is service data entered by contract and civil service agencies. (In some cases, the data is collected via reports submitted by contract agencies). Timing:  The majority of the Insyst and eCura data tables in the Data Warehouse are refreshed nightly or weekly.  Due to the data entry lag, it is reasonable to wait at least three months after the fact before considering the data complete.",Above target is positive,General,4892,4925,4758,4758,5000,5000,5000,5000,Close to target,,D Community Health,Yes,No,No,No,Yes,No,FALSE,-4.84
DPH,PUBLIC HEALTH,"Sangha, Baljeet",MENTAL HEALTH - COMMUNITY CARE,Provide clinical services to target populations,DPH.DMM.01.368.368,Number of unique mental health clients in treatment,"Number of mental health clients in treatment through DPH�s Community Behavioral Health Services.  This includes all modes of treatment for mental health disorders, with the top three diagnosis categories being mood disorders, schizophrenia/psychotic disorder, and anxiety disorder.","Collection Method: Indicator collection from the BIS (Insyst) and either a simple count for the UDCs or a calculation that turns time entries into appropriate billing units for the service units indicator. Number of unique mental health registrants/clients in treatment.  Includes all modes of treatment. Timing:  The majority of the Insyst and eCura data tables in the Data Warehouse are refreshed nightly or weekly.  Due to the data entry lag, it is reasonable to wait at least three months after the fact before considering the data complete.",Above target is positive,General,26240,25720,25300,25300,25000,25000,25000,25000,Slightly exceeded target ,,D Community Health,Yes,No,No,No,Yes,No,TRUE,1.2
DPH,PUBLIC HEALTH,"Sangha, Baljeet",MENTAL HEALTH - COMMUNITY CARE,Provide clinical services to target populations,DPH.DMM.01.369.369,Percentage of new mental health clients who are homeless,Percentage of new mental health clients who self-report being homeless at time of intake.,"Collection Method: Indicator collection from the BIS (Insyst) and either a simple count for the UDCs or a calculation that turns time entries into appropriate billing units for the service units indicator.  Changes on data capture requirements from the State have made collecting housing status mandatory, so DPH expects to have a more accurate figure in the future. Timing:  The majority of the Insyst and eCura data tables in the Data Warehouse are refreshed nightly or weekly.  Due to the data entry lag, it is reasonable to wait at least three months after the fact before considering the data complete.",On target is positive,Percent,0.17,0.03,0.12,0.12,0.2,0.2,0.25,0.3,Below target.  The method for capturing and recording housing status within the Avatar health record system has changed. Implementation of this change is in progress and staff training about this is ongoing.   ,,D Community Health,Yes,No,No,No,Yes,No,FALSE,60
DPH,PUBLIC HEALTH,"Sangha, Baljeet",MENTAL HEALTH - COMMUNITY CARE,Provide clinical services to target populations,DPH.DMM.01.370.370,Total units of mental health services provided,"This measure illustrates the scope of the Department of Public Health’s mental health programs managed by Community Behavioral Health Services (CBHS).  Included in the number of mental health services consist of four treatment modalities: 1) inpatient residential mental health services measured in 24-hour increments; 2) day treatment/socialization/crisis care measured by half-day, full-day, or hour-long time-periods; 3) outpatient visits measured in hours; and 4) conservatorship work for mental health clients measured in number of contacts.","SOURCE: The information is reported through Avatar (the CBHS comprehensive database for tracking services, authorizations, claims, etc.).  The database uses an automated calculation that turns time entries into appropriate billing units. COLLECTION METHOD: Data entered into the CBHS billing system, Insyst, is extracted and summed by State Department of Mental Health-defined Modes of Service. COLLECTION FREQUENCY: Avatar data are updated nightly and reports no longer use a data warehouse but pull directly from the production system. Avatar offers a more real-time potential for reports, but will still need a 1-month lag time before preparing a report. STORAGE LOCATION: The data storage center for the SF Department of Public Health (DPH) is located at 1380 Howard St., 3rd floor. ",Above target is positive,General,1127017,1107757,1278344,1996973,1e+06,1437258,1e+06,1e+06,Exceeded target ,,D Community Health,Yes,No,No,No,No,No,TRUE,99.7
DPH,PUBLIC HEALTH,"Sangha, Baljeet",PRIMARY CARE - AMBU CARE - HEALTH CNTRS,Provide clinical services to target populations,KPI326320167018310,Number of Healthy San Francisco participants,"This number represents enrollees in the Healthy San Francisco program (HSF).  HSF is a comprehensive health coverage program for uninsured San Francisco residents, age 18 through 64 years old.  Enrollment first began in July 2007 for lower income residents and has grown as more health clinic sites joined and as enrollment requirements expanded.   This measure was added to the system in January 2009.",The enrollment number is derived from the One-E-App program.  One-E-App is a web-based eligibility and enrollment application and system of record for Healthy San Francisco.  Reports are run monthly and ad hoc.,Above target is positive,General,46822,51161,25572,25572,43000,28000,40000,19000,"With full implementation of the ACA and the individual mandate in effect, HSF has seen a large number of participants disenrolling from the program. Since HSF is not health insurance, efforts are continuing to ensure that those participants who are eligible for health insurance are informed of newly available health insurance options. However, HSF is still necessary because there are uninsured San Francisco residents who will not qualify for the new health insurance options. HSF needs to remain as a health access program for these individuals, and outreach will continue to reach San Francisco residents who may be eligible for HSF participation but are not yet enrolled. ",,D Community Health,Yes,No,No,Yes,Yes,No,FALSE,-40.53
DPH,PUBLIC HEALTH,"Sangha, Baljeet",PRIMARY CARE - AMBU CARE - HEALTH CNTRS,Provide clinical services to target populations,KPI326322167092137,Percentage of Healthy San Francisco participant complaints resolved within 60 days,"This measure shows the percentage of complaints from participants received through the Healthy San Francisco (HSF) customer service line that are then resolved within a 60-day time frame. An HSF participant complaint is considered resolved when either the HSF Customer Service Complaint Coordinator or HSF Administrator reviews the complaint and the resolution is communicated to the participant by telephone or letter. Upon either hearing or reading the resolution of the complaint, if the HSF participant does not request additional review of the complaint, the complaint is considered resolved and the case is closed.   Participant complaints are usually related to enrollment, access, and pharmacy. HSF has a participant complaints process that is overseen by the San Francisco Health Plan (SFHP), the 3rd Party Administrator.","SOURCE: Staff maintains an internal complaint tracking system, HSF Complaint Tracker system, which is accessible to both SFHP and HSF administration. COLLECTION METHOD: Healthy San Francisco (HSF) customer service agents log complaints received through the healthysanfrancisco.org website and via phone at the program's designated Participant Services Call Center.   COLLECTION FREQUENCY: DPH’s HSF Administration receives quarterly reports from SFHP on participant complaints.  The reports analyze the data by complaint category and medical home. DPH uses this data to help ascertain if there are any trends or anomalies in complaints which require additional attention.     STORAGE LOCATION:  The HSF participant complaints primary source data is physically/virtually stored in the HSF Complaints Tracking system which is located the offices of the program’s third party administrator, SFHP.",Above target is positive,Percent,1,1,1,1,0.85,1,0.85,0.85,"HSF Administration's target of addressing HSF complaints within 60 days was 85%. The program well-exceeded that target, resolving all complaints within 60 days, and any complaints that remained open at the end of FY14 were still well within the 60 day resolution period. ",,D Community Health,Yes,No,No,No,No,No,TRUE,17.65
DPH,PUBLIC HEALTH,"Sangha, Baljeet",PRIMARY CARE - AMBU CARE - HEALTH CNTRS,Provide clinical services to target populations,DPH.DHP.01.366.366,Percentage of outpatient visits by homeless patients,Percentage of visits to community based health centers (non SFGH) UDCs by homeless patients.,"Collection Method: Patient utilization statistics as tracked by clinical data system (INVISION) Homelessness is defined as ""On the Street"" (Zip 99997) or in transitional housing within the last year (Homeless Field is 'Y'). Timing:  The reporting database is updated daily and is current within 24 hours and 95% reliable within three months.  Reports are run on an ad hoc basis.",On target is positive,Percent,0.13,0.12,0.09,0.09,0.12,0.12,0.12,0.12,Decreased but within range of target ,,D Community Health,Yes,No,No,No,Yes,No,FALSE,75
DPH,PUBLIC HEALTH,"Sangha, Baljeet",PRIMARY CARE - AMBU CARE - HEALTH CNTRS,Provide clinical services to target populations,DPH.DHP.01.365.365,Percentage of outpatient visits by uninsured patients,"Percentage of visits to  community-based health centers (excluding SFGH clinics) by uninsured patients. Uninsured status is determined by eligibility staff at intake and is self-reported by the patient (defined as lacking public or private health insurance). Patients who are assisted, as appropriate, to enroll in any and all public programs for which they may be eligible.","Collection Method: Patient utilization statistics as tracked by clinical data system (INVISION). All community based health centers (non SFGH) UDCs. Uninsured Financial Classes include 3, 4, 7, 9, C, J, K, M, P, R, and U.  Timing:  The reporting database is updated daily and is current within 24 hours and 95% reliable within three months.  Reports are run on an ad hoc basis.",On target is positive,Percent,0.36,0.36,0.25,0.25,0.36,0.36,0.36,0.36,"Improved eligibility, impact of ACA (?) ",,D Community Health,Yes,No,No,No,Yes,No,FALSE,69.44
DPH,PUBLIC HEALTH,"Sangha, Baljeet",PRIMARY CARE - AMBU CARE - HEALTH CNTRS,Provide clinical services to target populations,DPH.DHP.01.364.364,Percentage of patients who are homeless,Percentage of homeless patients who have visited DPH community-oriented primary care health centers.  (This excludes the outpatient clinics at SFGH.),"Collection Method: Patient utilization statistics as tracked by clinical data system (INVISION). All community based health centers (non SFGH) UDCs. Homelessness is defined as ""On the Street"" (Zip 99997) or in transitional housing within the last year (Homeless Field is 'Y'). Timing:  The reporting database is updated daily and is current within 24 hours and 95% reliable within three months.  Reports are run on an ad hoc basis.",On target is positive,Percent,0.13,0.1,0.11,0.11,0.11,0.1,0.1,0.1,Within range of target,,D Community Health,Yes,No,No,No,Yes,No,TRUE,100
DPH,PUBLIC HEALTH,"Sangha, Baljeet",PRIMARY CARE - AMBU CARE - HEALTH CNTRS,Provide clinical services to target populations,DPH.DHP.01.363.363,Percentage of patients who are uninsured,"Percentage of uninsured patients who have visited DPH community-based health centers.  (This excludes the outpatient clinics at SFGH.)  Uninsured status is determined by eligibility staff at intake and is self-reported by the patient (defined as lacking public or private health insurance). Patients who are assisted, as appropriate, to enroll in any and all public programs for which they may be eligible.","Collection Method: Patient utilization statistics as tracked by clinical data system (INVISION). All community based health centers (non SFGH) UDCs. Uninsured Financial Classes include 3, 4, 7, 9, C, J, K, M, P, R, and U.  Timing:  The reporting database is updated daily and is current within 24 hours and 95% reliable within three months.  Reports are run on an ad hoc basis.",On target is positive,Percent,0.44,0.45,0.38,0.38,0.41,0.4,0.41,0.41,Within range of target,,D Community Health,Yes,No,No,No,Yes,No,FALSE,92.68
DPH,PUBLIC HEALTH,"Sangha, Baljeet",Primary Care Clinc - Tom Waddell Urban Health Center,Improve support staff ratio for active patient panel,DPH.DSP.01.387.387,Number of bed slots in housing programs,"Number of bed slots available for clients in DPH�s Housing and Urban Health programs, including transitional housing, permanent housing, emergency, and respite beds.  Slots include those that are available (unfilled) and those that are filled.  However, most slots are permanent and are full.  Other slots (e.g., transitional) experience minimal turnover time.",Collection Method: Client bed slots are measured based on the housing programs contracting with DPH Housing and Urban Health. Timing:  The data are readily available since they are constant unless new bed slots are added or deleted through new or revised contracts with our program service providers.,Above target is positive,General,2403,2629,2818,2818,2803,2803,2803,2803,The number of bed slots for housing programs increased due to the opening of the Rene Cazenave Apartments in FY 13/14. ,,D Community Health,Yes,No,No,No,Yes,No,TRUE,0.54
DPH,PUBLIC HEALTH,"Sangha, Baljeet",Primary Care Clinc - Tom Waddell Urban Health Center,Improve support staff ratio for active patient panel,DPH.DSP.01.389.389,Number of unduplicated clients served in supportive housing,An unduplicated client is one new client per fiscal year served by Housing and Urban Health's Supportive Housing Program.  It measures the number of individuals served by Housing and Urban Health's Supportive Housing Program rather than just a duplicated count based on the number of times an individual uses a supportive housing service.  Supportive housing is permanent housing for formerly homeless clients with support services on-site and 24-hour property management trained to serve this population.  The combination of these services was developed to stabilize and maintain the client's health and housing.,Collection Method: The data are reported by the service providers of DPH's Housing and Urban Health programs. Timing:  The data are reported monthly by the program service providers (contractors) and are due to HUH by the 15th of the following month.,Above target is positive,General,1278,1290,1440,1440,1359,1290,1359,1359,DPH's Housing and Urban Health (HUH) section was able to meet its projected client (UDC) count in supportive housing for the year ,,D Community Health,Yes,No,No,No,Yes,No,TRUE,5.96
DPH,PUBLIC HEALTH,pmadmin,Primary Care Clinc - Tom Waddell Urban Health Center,Improve support staff ratio for active patient panel,KPI12976014963976,Primary Care support staff ratio per unweighted active patient panel,"TWUHC is the largest provider homeless health center in San Francisco.  TWUHC provides primary medical care, psychiatric care, substance abuse counseling, medical adherence, social work, case management, pharmacy, and methodone maintenance.",SOURCE: LCR Data                     COLLECTION METHOD: FREQUENCY: LOCATION: ,Above target is positive,General,0,0,6.97,6.97,0,0,0,0, ,,,No,No,No,No,No,No,TRUE,Inf
DPH,PUBLIC HEALTH,"Sangha, Baljeet",Primary Care Clinc - Tom Waddell Urban Health Center,Increase attention to social and economic factors that affect health status,DPH.DSP.02.391.391,Number of unduplicated clients served by housing and housing-related programs,"An unduplicated client is one new client per fiscal year receiving services in each of DPH's Housing & Urban Health (HUH) programs. It provides a count of individuals using HUH services (1 person regardless of number of services they access in year).  Services include transitional housing, permanent housing, emergency stabilization, respite, medication adherence, and other support to previously homeless individuals.  ","SOURCE:  The count of unduplicated clients served by housing-related programs comes from DPH’s Housing and Urban Health (HUH) program service contractors.  These contractors provide housing-related services for HUH clients.   COLLECTION METHOD:  HUH requires contractors to submit regular reports with their contract invoice billings to DPH.  Data includes the number of unduplicated clients served. Each unduplicated client is uniquely identified by data of birth and social security number. COLLECTION FREQUENCY: The contractor’s reports are submitted on a monthly basis, and are due by the 15th of the following month. STORAGE LOCATION: The data is sent to and kept at HUH’s offices, at 101 Grove Street, Ste. 323; San Francisco, CA, 94102.",Above target is positive,General,3820,4189,4210,4210,3935,3935,3935,3935,DPH's Housing and Urban Health (HUH) section was able to meet its projected client (UDC) count for housing and housing related programs for the year ,,D Community Health,Yes,No,No,No,Yes,No,TRUE,6.99
DPH,PUBLIC HEALTH,"Sangha, Baljeet",SFGH - ACUTE CARE - HOSPITAL,Decrease rate of ambulance diversions,DPH.D1H.02.357.357,Percentage of time that San Francisco General Hospital’s Emergency Department is unable to accept lower-priority emergency cases,"Percentage of time in a 6-month period that SFGH's Emergency Department (ED) is on ambulance diversion. Ambulance diversion means that SFGH's ED is at capacity and unable to accept certain lower-priority ambulance traffic, including Code 2 (defined as non life-threatening). During ambulance diversion, SFGH continues to accept patients needing trauma care, specialty services (SFGH's top ten specialty services), and walk-ins.  The ED diversion and trauma override hours are calculated daily and reported as percent of the month.  For this measure, these monthly percentages are averaged for the 6 month time period in question.  ",SOURCE: The information is taken from the Emergency Management Resource Tool (Emsystem).   COLLECTION METHOD: Diversion data are extracted from the Emergency Emsystem logs and reported in a monthly memo to EMS System Participants. This measure is reported monthly by the SF Department of Public Health (through SFGH’s Base Hospital Coordinator’s office) for all hospitals. The memo is comprehensive and includes SFGH admissions and patient encounter numbers.   COLLECTION FREQUENCY: Collected daily by shift in a comprehensive hour by hour account of ED status during diversion. STORAGE LOCATION: These reports are retained for a period of 2 years in the SFGH Base Hospital Office. ,Below target is positive,Percent,0.207,0.3405,0.39,0.395,0.23,0.4,0.4,0.4,Within range of target ,,D Community Health,Yes,No,No,No,Yes,No,FALSE,-71.74
DPH,PUBLIC HEALTH,"Sangha, Baljeet",SFGH - ACUTE CARE - HOSPITAL,Provide clinical services to target populations,KPI87964189889420,Average Daily Population at San Francisco General Hospital,"The daily count of patients at SFGH (aka: Average Daily Census or ADC) is the number of admitted inpatients at SFGH at approximately 12 midnight, when the census is taken. This measure totals the daily census for a month, divided by the number of days in the month. THIS MEASURE IS USED ONLY FOR THE BIMONTHLY BAROMETER REPORT (NOT THE BUDGET BOOK).","SOURCE: The daily count is tracked by SFGH's computer system - SMS Invision Clinical Data System; maintained by DPH Community Health Network/SFGH. COLLECTION METHOD: The reporting database is continuously updated, within 10 days of the following month. This database is not static.  Staff add and revise as new information is made available – including medical record coders, finance staff, physicians’ late entries, etc.  Over a period of a year or so, the changes are negligible. COLLECTION FREQUENCY: Reports are run on an ad hoc basis. STORAGE LOCATION: SMS Invision Clinical Data System; ",Above target is positive,General,397.3,360.6875,316.4,316.4,320,320,320,320,Within range of target ,,D Community Health,Yes,No,No,Yes,No,No,FALSE,-1.13
DPH,PUBLIC HEALTH,"Sangha, Baljeet",SFGH - ACUTE CARE - HOSPITAL,Provide clinical services to target populations,DPH.D1H.01.356.356,Homeless outpatient visits as a percentage of total visits,Visits made by homeless individuals to SFGH�s outpatient clinics and emergency department (when there is no admission) as a percentage of the total outpatient visits at these same sites.,"Collection Method: Patient utilization statistics as tracked by clinical data system (INVISION). Homeless outpatient visits includes those to all SFGH clinics and non-admit ED. Homelessness is defined as ""On the Street"" (Zip 99997) or in transitional housing within the last year (Homeless Field is 'Y'). Timing:  The reporting database is updated daily and is current within 24 hours and 95% reliable within three months.  Reports are run on an ad hoc basis.",On target is positive,Percent,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,Within range of target ,,D Community Health,Yes,No,No,No,Yes,No,TRUE,100
DPH,PUBLIC HEALTH,"Sangha, Baljeet",SFGH - ACUTE CARE - HOSPITAL,Provide clinical services to target populations,DPH.D1H.01.354.354,Number of hospital medical/surgical inpatient days at SFGH,Number of hospital medical/surgical inpatient days at SFGH.  An inpatient day occurs when a patient occupies a bed at the time the official census is taken; one patient occupying one bed for two nights translates to two inpatient days.  (This measure excludes patients receiving psychiatric treatment and non-acute skilled nursing care and includes newborns.),"Collection Method: Patient Utilization Statistics as tracked by SMS Invision Clinical Data System; maintained by DPH Community Health Network / San Francisco General Hospital. Measure excludes SFBHC, Acute Psych, and 4A SNF. Timing:  The reporting database is updated daily and is current within 24 hours and 95% reliable within three months.  Reports are run on an ad hoc basis.",On target is positive,General,79635,76174,74608,111687,80000,75000,75000,75000,Within range of target ,,D Community Health,Yes,No,No,No,Yes,No,FALSE,60.39
