Fiscal.Year,Program,Department,Amount,prev.year.amount,percent.change
2016,No Program Defined,Controller,21951.9800000003,10019739.66,-0.997809126709386
2015,No Program Defined,Controller,10019739.66,235725.069999999,41.506041720552
2014,No Program Defined,Controller,235725.069999999,41839.0800000005,4.63408827345143
2013,No Program Defined,Controller,41839.0800000005,0.00000000160980562213808,25990144042626.6
2012,No Program Defined,Controller,0.00000000160980562213808,-0.000000000678483047522604,-3.37265415549598
2011,No Program Defined,Controller,-0.000000000678483047522604,39735.9900000029,-1.00000000000002
2010,No Program Defined,Controller,39735.9900000029,6713905.41,-0.994081538601837
2009,No Program Defined,Controller,6713905.41,0.0500000018273568,134278102.29252
2008,No Program Defined,Controller,0.0500000018273568,8565.32999999884,-0.999994162513081
2007,No Program Defined,Controller,8565.32999999884,-8460.36999999932,-2.01240607680273
2006,No Program Defined,Controller,-8460.36999999932,1639899.99,-1.00515907680443
2005,No Program Defined,Controller,1639899.99,7941.78,205.49023140908
2004,No Program Defined,Controller,7941.78,1153471.63,-0.993114889180239
2003,No Program Defined,Controller,1153471.63,1190332.2,-0.0309666242751394
2002,No Program Defined,Controller,1190332.2,1435176.03,-0.1706019504799
2001,No Program Defined,Controller,1435176.03,1282787.86,0.118794521488534
2000,No Program Defined,Controller,1282787.86,947.38,1353.03730287741
1999,No Program Defined,Controller,947.38,NA,NA
2016,Payroll And Personnel Services,Controller,3950748.57,2630786.22,0.501736834397741
2015,Payroll And Personnel Services,Controller,2630786.22,2311348.45,0.13820407303797
2014,Payroll And Personnel Services,Controller,2311348.45,3065810.92,-0.246089041264162
2013,Payroll And Personnel Services,Controller,3065810.92,4012103.51,-0.235859465649728
2012,Payroll And Personnel Services,Controller,4012103.51,10901816.3,-0.631978433722095
2011,Payroll And Personnel Services,Controller,10901816.3,6993763.72,0.558791051065133
2010,Payroll And Personnel Services,Controller,6993763.72,4907241.23,0.425192565884926
2009,Payroll And Personnel Services,Controller,4907241.23,5268534.41,-0.0685756515729012
2008,Payroll And Personnel Services,Controller,5268534.41,5578012.51,-0.0554817866480546
2007,Payroll And Personnel Services,Controller,5578012.51,5669065.59,-0.016061391168346
2006,Payroll And Personnel Services,Controller,5669065.59,5460101.98,0.0382710086305019
2005,Payroll And Personnel Services,Controller,5460101.98,5198297.95,0.0503634136631201
2004,Payroll And Personnel Services,Controller,5198297.95,5989212.77,-0.132056557409631
2003,Payroll And Personnel Services,Controller,5989212.77,6029433.52,-0.0066707344672738
2002,Payroll And Personnel Services,Controller,6029433.52,6015611.77,0.00229764661159324
2001,Payroll And Personnel Services,Controller,6015611.77,5593038.5,0.0755534348637149
2000,Payroll And Personnel Services,Controller,5593038.5,5012019.7,0.115925083055839
1999,Payroll And Personnel Services,Controller,5012019.7,NA,NA
2016,Public Finance,Controller,160825,440914.57,-0.635246800757798
2015,Public Finance,Controller,440914.57,-120195.53,-4.66831087645273
2014,Public Finance,Controller,-120195.53,253336.78,-1.47444958446223
2013,Public Finance,Controller,253336.78,-505007.33,-1.50164970872799
2012,Public Finance,Controller,-505007.33,80091.53,-7.30537748498499
2011,Public Finance,Controller,80091.53,-210403.97,-1.38065598286953
2010,Public Finance,Controller,-210403.97,-181836.89,0.157102774909976
2009,Public Finance,Controller,-181836.89,NA,NA
2003,Water Capital Projects,Controller,200379,40077,3.99985028819522
2002,Water Capital Projects,Controller,40077,NA,NA
2001,Children's Baseline,County Education Office,2563000,600000,3.27166666666667
2000,Children's Baseline,County Education Office,600000,600000,0
1999,Children's Baseline,County Education Office,600000,NA,NA
2016,County Education Services,County Education Office,89617651.01,171514287.6,-0.477491629041405
2015,County Education Services,County Education Office,171514287.6,179691128.96,-0.0455049807262339
2014,County Education Services,County Education Office,179691128.96,159929899.2,0.123561822141135
2013,County Education Services,County Education Office,159929899.2,277838269.91,-0.424377717109288
2012,County Education Services,County Education Office,277838269.91,219279224.15,0.267052412224617
2011,County Education Services,County Education Office,219279224.15,112584298.93,0.947689209188381
2010,County Education Services,County Education Office,112584298.93,155048309.74,-0.273875999559155
2009,County Education Services,County Education Office,155048309.74,146384347.81,0.0591863956742522
2008,County Education Services,County Education Office,146384347.81,65852860.78,1.22290035810347
2007,County Education Services,County Education Office,65852860.78,50002242.66,0.316998144018847
2006,County Education Services,County Education Office,50002242.66,31710910.24,0.576815117622433
2005,County Education Services,County Education Office,31710910.24,23607587.21,0.343250792972502
2004,County Education Services,County Education Office,23607587.21,19688272.01,0.199068521504036
2003,County Education Services,County Education Office,19688272.01,12226874.16,0.610245738392387
2002,County Education Services,County Education Office,12226874.16,9300777.68,0.314607722136199
2001,County Education Services,County Education Office,9300777.68,1120190,7.30285726528535
2000,County Education Services,County Education Office,1120190,1114536.84,0.00507220559887452
1999,County Education Services,County Education Office,1114536.84,NA,NA
2016,No Program Defined,County Education Office,464458296.27,405793856.94,0.144567095648947
2015,No Program Defined,County Education Office,405793856.94,584696692.86,-0.305975453777428
2014,No Program Defined,County Education Office,584696692.86,336410590.11,0.738044847722585
2013,No Program Defined,County Education Office,336410590.11,449150709.9,-0.251007328509178
2012,No Program Defined,County Education Office,449150709.9,324665913.04,0.383424288969514
2011,No Program Defined,County Education Office,324665913.04,572108618.02,-0.432510011536568
2010,No Program Defined,County Education Office,572108618.02,470657996.58,0.215550616747581
2009,No Program Defined,County Education Office,470657996.58,224780217.09,1.09385862632009
2008,No Program Defined,County Education Office,224780217.09,409252750.05,-0.450754534789228
2007,No Program Defined,County Education Office,409252750.05,346844797.22,0.179930485710631
2006,No Program Defined,County Education Office,346844797.22,269269034.14,0.288097602190924
2005,No Program Defined,County Education Office,269269034.14,32354225.48,7.32253067861107
2004,No Program Defined,County Education Office,32354225.48,4647117.89,5.96221319231477
2003,No Program Defined,County Education Office,4647117.89,7827153.07,-0.406282482476097
2002,No Program Defined,County Education Office,7827153.07,8390691.6,-0.0671623457117646
2001,No Program Defined,County Education Office,8390691.6,15362252.26,-0.453811104127775
2000,No Program Defined,County Education Office,15362252.26,103063025.88,-0.85094312796631
1999,No Program Defined,County Education Office,103063025.88,NA,NA
2016,No Program Defined,County Transportation Authority,170844.44,376802878.13,-0.999546594652228
2015,No Program Defined,County Transportation Authority,376802878.13,162998879.63,1.31168998820928
2014,No Program Defined,County Transportation Authority,162998879.63,169646420.82,-0.0391846828118657
2013,No Program Defined,County Transportation Authority,169646420.82,200565424.67,-0.15415919219812
2012,No Program Defined,County Transportation Authority,200565424.67,247163747.78,-0.188532191830483
2011,No Program Defined,County Transportation Authority,247163747.78,178841754.83,0.382024840982712
2010,No Program Defined,County Transportation Authority,178841754.83,162880132,0.0979961314741568
2009,No Program Defined,County Transportation Authority,162880132,156141201.51,0.0431592073381632
2008,No Program Defined,County Transportation Authority,156141201.51,134675691.52,0.159386669915946
2007,No Program Defined,County Transportation Authority,134675691.52,167253194.21,-0.194779554697749
2006,No Program Defined,County Transportation Authority,167253194.21,117502363.95,0.423402803037819
2005,No Program Defined,County Transportation Authority,117502363.95,165084739.65,-0.288230007212541
2004,No Program Defined,County Transportation Authority,165084739.65,263324437.56,-0.373074746955894
2003,No Program Defined,County Transportation Authority,263324437.56,170422999.96,0.545122651413277
2002,No Program Defined,County Transportation Authority,170422999.96,218156165.04,-0.218802732763697
2001,No Program Defined,County Transportation Authority,218156165.04,182034577.43,0.198432562208629
2000,No Program Defined,County Transportation Authority,182034577.43,143879820.58,0.265184907071699
1999,No Program Defined,County Transportation Authority,143879820.58,NA,NA
2016,Administration/Support Services,Department of Building Inspection,11182903.95,20687683.59,-0.459441464224367
2015,Administration/Support Services,Department of Building Inspection,20687683.59,17444535.17,0.185911999855253
2014,Administration/Support Services,Department of Building Inspection,17444535.17,15616850.6,0.11703285232171
2013,Administration/Support Services,Department of Building Inspection,15616850.6,13891688.45,0.12418664269713
2012,Administration/Support Services,Department of Building Inspection,13891688.45,11164478.69,0.244275602625562
2011,Administration/Support Services,Department of Building Inspection,11164478.69,11267922.99,-0.00918042305505682
2010,Administration/Support Services,Department of Building Inspection,11267922.99,12616441.82,-0.106885827972692
2009,Administration/Support Services,Department of Building Inspection,12616441.82,5861093.93,1.15257458260868
2008,Administration/Support Services,Department of Building Inspection,5861093.93,420043.38,12.9535443458245
2007,Administration/Support Services,Department of Building Inspection,420043.38,-4715652.45,-1.08907428705862
2006,Administration/Support Services,Department of Building Inspection,-4715652.45,-2754423.92,0.712028571840169
2005,Administration/Support Services,Department of Building Inspection,-2754423.92,-193666.13,13.2225381381866
2004,Administration/Support Services,Department of Building Inspection,-193666.13,3802590.03,-1.05093005779537
2003,Administration/Support Services,Department of Building Inspection,3802590.03,4188814.7,-0.092203808872233
2002,Administration/Support Services,Department of Building Inspection,4188814.7,6069935.61,-0.309907885497323
2001,Administration/Support Services,Department of Building Inspection,6069935.61,4090163.7,0.484032438603863
2000,Administration/Support Services,Department of Building Inspection,4090163.7,7745647.73,-0.471940392517696
1999,Administration/Support Services,Department of Building Inspection,7745647.73,NA,NA
2007,Construction Inspection,Department of Building Inspection,39649.04,53100.56,-0.25332162222018
2006,Construction Inspection,Department of Building Inspection,53100.56,NA,NA
2002,Construction Inspection,Department of Building Inspection,562.35,1745.74,-0.677872993687491
2001,Construction Inspection,Department of Building Inspection,1745.74,5397.67,-0.676575263030159
2000,Construction Inspection,Department of Building Inspection,5397.67,NA,NA
2006,Departmental Fund Transfer,Department of Building Inspection,7406448.43,NA,NA
2001,Departmental Fund Transfer,Department of Building Inspection,-2368367,-1546127,0.531806248775165
2000,Departmental Fund Transfer,Department of Building Inspection,-1546127,-4945770,-0.687383966500666
1999,Departmental Fund Transfer,Department of Building Inspection,-4945770,NA,NA
2016,Housing Inspection/Code Enforcement Svcs,Department of Building Inspection,4538573.62,8519034.72,-0.467243206634096
2015,Housing Inspection/Code Enforcement Svcs,Department of Building Inspection,8519034.72,8607957.84,-0.0103303386997071
2014,Housing Inspection/Code Enforcement Svcs,Department of Building Inspection,8607957.84,6768171.4,0.271829173829729
2013,Housing Inspection/Code Enforcement Svcs,Department of Building Inspection,6768171.4,6336656.93,0.0680981272565123
2012,Housing Inspection/Code Enforcement Svcs,Department of Building Inspection,6336656.93,6560862.06,-0.0341731205365413
2011,Housing Inspection/Code Enforcement Svcs,Department of Building Inspection,6560862.06,2993175.55,1.19194028228648
2010,Housing Inspection/Code Enforcement Svcs,Department of Building Inspection,2993175.55,6517412.08,-0.540741706484209
2009,Housing Inspection/Code Enforcement Svcs,Department of Building Inspection,6517412.08,437971.44,13.8809065723555
2008,Housing Inspection/Code Enforcement Svcs,Department of Building Inspection,437971.44,NA,NA
2016,Inspection Services,Department of Building Inspection,35410117.27,57649005.8,-0.385763608953686
2015,Inspection Services,Department of Building Inspection,57649005.8,52521559.46,0.0976255540147283
2014,Inspection Services,Department of Building Inspection,52521559.46,48964088.23,0.0726547018151226
2013,Inspection Services,Department of Building Inspection,48964088.23,43317063.14,0.130364911207136
2012,Inspection Services,Department of Building Inspection,43317063.14,37345762.63,0.159892316811419
2011,Inspection Services,Department of Building Inspection,37345762.63,40958063.74,-0.0881951142253874
2010,Inspection Services,Department of Building Inspection,40958063.74,39393118.81,0.0397263526543305
2009,Inspection Services,Department of Building Inspection,39393118.81,52169914.64,-0.244907355478088
2008,Inspection Services,Department of Building Inspection,52169914.64,51242474.46,0.0180990514172761
2007,Inspection Services,Department of Building Inspection,51242474.46,45814766.54,0.118470709989566
2006,Inspection Services,Department of Building Inspection,45814766.54,44051792.56,0.0400204821994194
2005,Inspection Services,Department of Building Inspection,44051792.56,44500743.8,-0.0100886232827415
2004,Inspection Services,Department of Building Inspection,44500743.8,41711094.39,0.066880273720864
2003,Inspection Services,Department of Building Inspection,41711094.39,45200311.04,-0.0771945274206679
2002,Inspection Services,Department of Building Inspection,45200311.04,30980729.09,0.458981514240406
2001,Inspection Services,Department of Building Inspection,30980729.09,29328983.99,0.0563178424647501
2000,Inspection Services,Department of Building Inspection,29328983.99,34956504.78,-0.160986369358636
1999,Inspection Services,Department of Building Inspection,34956504.78,NA,NA
2016,No Program Defined,Department of Building Inspection,347857.67,791878.13,-0.560718175156574
2015,No Program Defined,Department of Building Inspection,791878.13,649639.5,0.218950094629406
2014,No Program Defined,Department of Building Inspection,649639.5,58057.34,10.1896187458812
2013,No Program Defined,Department of Building Inspection,58057.34,313749.55,-0.814956419857813
2012,No Program Defined,Department of Building Inspection,313749.55,283674.5,0.106019575252622
2011,No Program Defined,Department of Building Inspection,283674.5,350383.38,-0.190388254146073
2010,No Program Defined,Department of Building Inspection,350383.38,405618.43,-0.13617490211182
2009,No Program Defined,Department of Building Inspection,405618.43,802837.13,-0.494768721023155
2008,No Program Defined,Department of Building Inspection,802837.13,1345636.58,-0.403377448315206
2007,No Program Defined,Department of Building Inspection,1345636.58,1376558.29,-0.0224630589380999
2006,No Program Defined,Department of Building Inspection,1376558.29,500750.52,1.74899023569661
2005,No Program Defined,Department of Building Inspection,500750.52,417814.23,0.198500395738077
2004,No Program Defined,Department of Building Inspection,417814.23,689016.29,-0.393607617027458
2003,No Program Defined,Department of Building Inspection,689016.29,1111651.91,-0.380187013756851
2002,No Program Defined,Department of Building Inspection,1111651.91,1448812.98,-0.232715384700653
2001,No Program Defined,Department of Building Inspection,1448812.98,1060499.82,0.366160514765575
2000,No Program Defined,Department of Building Inspection,1060499.82,760227,0.394977842144517
1999,No Program Defined,Department of Building Inspection,760227,NA,NA
2012,Permit Center,Department of Building Inspection,2501.2,583.33,3.28779593026246
2011,Permit Center,Department of Building Inspection,583.33,NA,NA
2009,Permit Center,Department of Building Inspection,4067222.77,66489.37,60.1710228266564
2008,Permit Center,Department of Building Inspection,66489.37,NA,NA
2016,Plan Review Services,Department of Building Inspection,35461014.05,44053104.56,-0.195039387026575
2015,Plan Review Services,Department of Building Inspection,44053104.56,48921987.9,-0.099523415727757
2014,Plan Review Services,Department of Building Inspection,48921987.9,40592399.93,0.205200677574227
2013,Plan Review Services,Department of Building Inspection,40592399.93,33936456.35,0.196129599135356
2012,Plan Review Services,Department of Building Inspection,33936456.35,28756456.52,0.18013345373055
2011,Plan Review Services,Department of Building Inspection,28756456.52,26245986.81,0.0956515648725193
2010,Plan Review Services,Department of Building Inspection,26245986.81,20703035.71,0.267736151240981
2009,Plan Review Services,Department of Building Inspection,20703035.71,27033844.49,-0.234180853645948
2008,Plan Review Services,Department of Building Inspection,27033844.49,39555778.1,-0.316563956303517
2007,Plan Review Services,Department of Building Inspection,39555778.1,29099843.38,0.359312405343949
2006,Plan Review Services,Department of Building Inspection,29099843.38,24710668.27,0.177622679485713
2005,Plan Review Services,Department of Building Inspection,24710668.27,21622763.81,0.142808037267277
2004,Plan Review Services,Department of Building Inspection,21622763.81,19592374.4,0.103631615471783
2003,Plan Review Services,Department of Building Inspection,19592374.4,18325556.42,0.0691284865226483
2002,Plan Review Services,Department of Building Inspection,18325556.42,23013499.9,-0.203704065021418
2001,Plan Review Services,Department of Building Inspection,23013499.9,20720084.87,0.110685600198509
2000,Plan Review Services,Department of Building Inspection,20720084.87,16763008.48,0.236060036282938
1999,Plan Review Services,Department of Building Inspection,16763008.48,NA,NA
2010,Property Conservation,Department of Building Inspection,-497818.73,90017.48,-6.53024512572447
2009,Property Conservation,Department of Building Inspection,90017.48,41780.05,1.15455654074133
2008,Property Conservation,Department of Building Inspection,41780.05,-18890.05,-3.21174904248533
2007,Property Conservation,Department of Building Inspection,-18890.05,165792.21,-1.11393810360571
2006,Property Conservation,Department of Building Inspection,165792.21,144473.9,0.147558209475898
2005,Property Conservation,Department of Building Inspection,144473.9,-23428.32,-7.16663508096184
2004,Property Conservation,Department of Building Inspection,-23428.32,-51817.37,-0.547867442905728
2003,Property Conservation,Department of Building Inspection,-51817.37,-103601.52,-0.499839674166943
2002,Property Conservation,Department of Building Inspection,-103601.52,-291.619999999999,354.26205335711
2001,Property Conservation,Department of Building Inspection,-291.619999999999,40488.52,-1.00720253543474
2000,Property Conservation,Department of Building Inspection,40488.52,14000,1.89203714285714
1999,Property Conservation,Department of Building Inspection,14000,NA,NA
2009,Reseidential Hotel Preservation,Department of Building Inspection,-1700000,NA,NA
2006,Reseidential Hotel Preservation,Department of Building Inspection,-300000,NA,NA
2013,911 Project,Department of Emergency Management,26219.95,-365396.07,-1.07175761359448
2012,911 Project,Department of Emergency Management,-365396.07,-105072.78,2.47755213100862
2011,911 Project,Department of Emergency Management,-105072.78,-252437,-0.58376632585556
2010,911 Project,Department of Emergency Management,-252437,46514790.29,-1.00542702650977
2009,911 Project,Department of Emergency Management,46514790.29,48513287.88,-0.0411948494388461
2008,911 Project,Department of Emergency Management,48513287.88,52474490.8,-0.0754881630980972
2007,911 Project,Department of Emergency Management,52474490.8,49870125.57,0.0522229531254016
2006,911 Project,Department of Emergency Management,49870125.57,14567881.51,2.42329291570412
2005,911 Project,Department of Emergency Management,14567881.51,17294042.38,-0.157635838405989
2004,911 Project,Department of Emergency Management,17294042.38,12874545.07,0.343274056362444
2003,911 Project,Department of Emergency Management,12874545.07,13040278.01,-0.0127093103285764
2002,911 Project,Department of Emergency Management,13040278.01,29779431.03,-0.562104527891647
2001,911 Project,Department of Emergency Management,29779431.03,27719748.48,0.0743037964967855
2000,911 Project,Department of Emergency Management,27719748.48,28208826.74,-0.0173377738999152
1999,911 Project,Department of Emergency Management,28208826.74,NA,NA
2012,911/Communications,Department of Emergency Management,3842.32,17379.81,-0.77892048302024
2011,911/Communications,Department of Emergency Management,17379.81,54044.07,-0.678414116479384
2010,911/Communications,Department of Emergency Management,54044.07,356240.72,-0.848293395544451
2009,911/Communications,Department of Emergency Management,356240.72,725909.85,-0.509249364779938
2008,911/Communications,Department of Emergency Management,725909.85,696888.08,0.0416448075851721
2007,911/Communications,Department of Emergency Management,696888.08,558661.37,0.24742485774522
2006,911/Communications,Department of Emergency Management,558661.37,378610.86,0.475555587602532
2005,911/Communications,Department of Emergency Management,378610.86,129539.76,1.92273862480523
2004,911/Communications,Department of Emergency Management,129539.76,344016.9,-0.623449429373964
2003,911/Communications,Department of Emergency Management,344016.9,691894.46,-0.502789919722728
2002,911/Communications,Department of Emergency Management,691894.46,1087450.89,-0.363746476863889
2001,911/Communications,Department of Emergency Management,1087450.89,994682.23,0.093264619797219
2000,911/Communications,Department of Emergency Management,994682.23,147936.33,5.72371844022357
1999,911/Communications,Department of Emergency Management,147936.33,NA,NA
2009,Citywide Radio System,Department of Emergency Management,11392.53,2900,2.92845862068966
2008,Citywide Radio System,Department of Emergency Management,2900,22666.73,-0.872059181011112
2007,Citywide Radio System,Department of Emergency Management,22666.73,5144.76,3.40578958007759
2006,Citywide Radio System,Department of Emergency Management,5144.76,26428.76,-0.805334794367954
2005,Citywide Radio System,Department of Emergency Management,26428.76,3609721.55,-0.992678449117495
2004,Citywide Radio System,Department of Emergency Management,3609721.55,4145855.45,-0.129318039778739
2003,Citywide Radio System,Department of Emergency Management,4145855.45,8108836.48,-0.488723757073469
2002,Citywide Radio System,Department of Emergency Management,8108836.48,2030428.41,2.99365790985953
2001,Citywide Radio System,Department of Emergency Management,2030428.41,41850878.39,-0.951484210413009
2000,Citywide Radio System,Department of Emergency Management,41850878.39,68125122.95,-0.38567628830973
1999,Citywide Radio System,Department of Emergency Management,68125122.95,NA,NA
2016,Emergency Communications,Department of Emergency Management,25722669.01,45840479.95,-0.438865626231298
2015,Emergency Communications,Department of Emergency Management,45840479.95,41184418.02,0.113053969288553
2014,Emergency Communications,Department of Emergency Management,41184418.02,40620289.24,0.0138878572889256
2013,Emergency Communications,Department of Emergency Management,40620289.24,38795433.01,0.0470379137031316
2012,Emergency Communications,Department of Emergency Management,38795433.01,38608481.21,0.00484224694007322
2011,Emergency Communications,Department of Emergency Management,38608481.21,41054328.05,-0.0595758585311932
2010,Emergency Communications,Department of Emergency Management,41054328.05,59903853.74,-0.314662989326403
2009,Emergency Communications,Department of Emergency Management,59903853.74,63018805.11,-0.0494289183135544
2008,Emergency Communications,Department of Emergency Management,63018805.11,56471526.67,0.115939462346397
2007,Emergency Communications,Department of Emergency Management,56471526.67,51929066.18,0.0874743342053297
2006,Emergency Communications,Department of Emergency Management,51929066.18,60564643.76,-0.142584469153658
2005,Emergency Communications,Department of Emergency Management,60564643.76,37612982,0.610205852862185
2004,Emergency Communications,Department of Emergency Management,37612982,37107704.94,0.0136164998837032
2003,Emergency Communications,Department of Emergency Management,37107704.94,20666841.14,0.795518951765649
2002,Emergency Communications,Department of Emergency Management,20666841.14,17250310.58,0.198056176678994
2001,Emergency Communications,Department of Emergency Management,17250310.58,10040295.79,0.718107806861734
2000,Emergency Communications,Department of Emergency Management,10040295.79,NA,NA
2012,Emergency Management - Emsa,Department of Emergency Management,-126.09,819948.95,-1.00015377786629
2011,Emergency Management - Emsa,Department of Emergency Management,819948.95,655769.05,0.250362379865289
2010,Emergency Management - Emsa,Department of Emergency Management,655769.05,NA,NA
2016,Emergency Services,Department of Emergency Management,19414317.5,58249673.25,-0.666705126109871
2015,Emergency Services,Department of Emergency Management,58249673.25,86475591.36,-0.326403296769545
2014,Emergency Services,Department of Emergency Management,86475591.36,103801984.54,-0.16691774494276
2013,Emergency Services,Department of Emergency Management,103801984.54,99898213.46,0.0390774864213472
2012,Emergency Services,Department of Emergency Management,99898213.46,91784960.31,0.0883941456486751
2011,Emergency Services,Department of Emergency Management,91784960.31,69035787.14,0.329527251190259
2010,Emergency Services,Department of Emergency Management,69035787.14,38437758.96,0.796040898530053
2009,Emergency Services,Department of Emergency Management,38437758.96,63545248.81,-0.395111992165949
2008,Emergency Services,Department of Emergency Management,63545248.81,42004116.93,0.512833823310662
2007,Emergency Services,Department of Emergency Management,42004116.93,19009954.55,1.20958534222271
2006,Emergency Services,Department of Emergency Management,19009954.55,8220717.18,1.31244478234197
2005,Emergency Services,Department of Emergency Management,8220717.18,1311019.92,5.27047465457275
2004,Emergency Services,Department of Emergency Management,1311019.92,NA,NA
2013,False Alarm Prevention,Department of Emergency Management,696369.31,721717.41,-0.0351219184251078
2012,False Alarm Prevention,Department of Emergency Management,721717.41,657250.1,0.0980864209834279
2011,False Alarm Prevention,Department of Emergency Management,657250.1,692076.76,-0.0503219613963053
2010,False Alarm Prevention,Department of Emergency Management,692076.76,667833.62,0.0363011673476397
2009,False Alarm Prevention,Department of Emergency Management,667833.62,659551.62,0.012557015628284
2008,False Alarm Prevention,Department of Emergency Management,659551.62,479434.18,0.375687523989216
2007,False Alarm Prevention,Department of Emergency Management,479434.18,453315.65,0.05761665188484
2006,False Alarm Prevention,Department of Emergency Management,453315.65,331236.35,0.368556470327004
2005,False Alarm Prevention,Department of Emergency Management,331236.35,334511.4,-0.0097905482443948
2004,False Alarm Prevention,Department of Emergency Management,334511.4,143957.99,1.32367373287165
2003,False Alarm Prevention,Department of Emergency Management,143957.99,NA,NA
2013,General City Responsibilities,Department of Emergency Management,1584.51,3556.42,-0.554464883225266
2012,General City Responsibilities,Department of Emergency Management,3556.42,3338.19,0.0653737504456008
2011,General City Responsibilities,Department of Emergency Management,3338.19,3493.89,-0.0445635094407665
2010,General City Responsibilities,Department of Emergency Management,3493.89,7070.6,-0.505856645829208
2009,General City Responsibilities,Department of Emergency Management,7070.6,12017.94,-0.411662897301867
2008,General City Responsibilities,Department of Emergency Management,12017.94,14024.31,-0.143063722921128
2007,General City Responsibilities,Department of Emergency Management,14024.31,10454.13,0.341509049533534
2006,General City Responsibilities,Department of Emergency Management,10454.13,5330.64,0.96113975057404
2005,General City Responsibilities,Department of Emergency Management,5330.64,-2856486.57,-1.0018661526562
2004,General City Responsibilities,Department of Emergency Management,-2856486.57,2990107.26,-1.95531240909398
2003,General City Responsibilities,Department of Emergency Management,2990107.26,NA,NA
2016,No Program Defined,Department of Emergency Management,-82,NA,NA
2014,No Program Defined,Department of Emergency Management,5611.82,NA,NA
2012,No Program Defined,Department of Emergency Management,-440,98.2,-5.4806517311609
2011,No Program Defined,Department of Emergency Management,98.2,-56221.81,-1.00174665312269
2010,No Program Defined,Department of Emergency Management,-56221.81,1367.85,-42.102321160946
2009,No Program Defined,Department of Emergency Management,1367.85,55223,-0.97523042935009
2008,No Program Defined,Department of Emergency Management,55223,NA,NA
2006,No Program Defined,Department of Emergency Management,-160,NA,NA
2002,No Program Defined,Department of Emergency Management,303741.53,1323248.39,-0.770457661391902
2001,No Program Defined,Department of Emergency Management,1323248.39,NA,NA
2016,Outdoor Public Warning System,Department of Emergency Management,59994.19,123591.88,-0.514578223100094
2015,Outdoor Public Warning System,Department of Emergency Management,123591.88,140909.84,-0.122900998255338
2014,Outdoor Public Warning System,Department of Emergency Management,140909.84,89703.12,0.570846588167725
2013,Outdoor Public Warning System,Department of Emergency Management,89703.12,83459.95,0.0748043822216524
2012,Outdoor Public Warning System,Department of Emergency Management,83459.95,92846,-0.101092669581888
2011,Outdoor Public Warning System,Department of Emergency Management,92846,78644.4,0.180579926860654
2010,Outdoor Public Warning System,Department of Emergency Management,78644.4,389863.32,-0.798276996153421
2009,Outdoor Public Warning System,Department of Emergency Management,389863.32,349340,0.115999656495105
2008,Outdoor Public Warning System,Department of Emergency Management,349340,NA,NA
2016,Children's Baseline,Department of the Status of Women,94411.15,196143.76,-0.518663504768135
2015,Children's Baseline,Department of the Status of Women,196143.76,196605.56,-0.00234886541357217
2014,Children's Baseline,Department of the Status of Women,196605.56,196225.35,0.0019376191710194
2013,Children's Baseline,Department of the Status of Women,196225.35,198449.54,-0.0112078365109841
2012,Children's Baseline,Department of the Status of Women,198449.54,199203.72,-0.0037859734747925
2011,Children's Baseline,Department of the Status of Women,199203.72,197439.09,0.00893759184161558
2010,Children's Baseline,Department of the Status of Women,197439.09,197080.56,0.00181920530365856
2009,Children's Baseline,Department of the Status of Women,197080.56,186310.29,0.0578082402211922
2008,Children's Baseline,Department of the Status of Women,186310.29,913939.66,-0.796145962196235
2007,Children's Baseline,Department of the Status of Women,913939.66,262626.01,2.48000436057343
2006,Children's Baseline,Department of the Status of Women,262626.01,252022.19,0.0420749458609181
2005,Children's Baseline,Department of the Status of Women,252022.19,NA,NA
2016,Commission On Status Of Women,Department of the Status of Women,2516586.71,5278629.87,-0.523250015254432
2015,Commission On Status Of Women,Department of the Status of Women,5278629.87,4773499.55,0.105819706215328
2014,Commission On Status Of Women,Department of the Status of Women,4773499.55,3766940.45,0.267208657360113
2013,Commission On Status Of Women,Department of the Status of Women,3766940.45,3112907.37,0.210103611274498
2012,Commission On Status Of Women,Department of the Status of Women,3112907.37,3036761.2,0.0250747967933731
2011,Commission On Status Of Women,Department of the Status of Women,3036761.2,3064254.57,-0.00897228652905285
2010,Commission On Status Of Women,Department of the Status of Women,3064254.57,3062315.88,0.000633079693921041
2009,Commission On Status Of Women,Department of the Status of Women,3062315.88,2995245.96,0.0223921243516175
2008,Commission On Status Of Women,Department of the Status of Women,2995245.96,2697426.84,0.110408599626747
2007,Commission On Status Of Women,Department of the Status of Women,2697426.84,2117298.24,0.273994749081735
2006,Commission On Status Of Women,Department of the Status of Women,2117298.24,1764315.35,0.200067913029267
2005,Commission On Status Of Women,Department of the Status of Women,1764315.35,2341385.82,-0.246465347603412
2004,Commission On Status Of Women,Department of the Status of Women,2341385.82,2262234.83,0.0349879636500868
2003,Commission On Status Of Women,Department of the Status of Women,2262234.83,2237099.7,0.0112355877567727
2002,Commission On Status Of Women,Department of the Status of Women,2237099.7,2301759.94,-0.0280916523379931
2001,Commission On Status Of Women,Department of the Status of Women,2301759.94,2374440.56,-0.0306095765143096
2000,Commission On Status Of Women,Department of the Status of Women,2374440.56,2004354.54,0.184640996697121
1999,Commission On Status Of Women,Department of the Status of Women,2004354.54,NA,NA
2016,Domestic Violence,Department of the Status of Women,322399.51,631413.05,-0.489399989436392
